subTopicID	docID
1.1	1.1
1.1	1.2
1.1	1.3
1.1	1.4
1.1	1.5
1.1	1.6
1.1	1.7
1.1	1.8
1.1	1.9
1.1	1.10
1.1	1.11
1.1	1.12
1.1	1.13
1.1	1.14
1.1	1.15
1.1	1.16
1.1	1.17
1.1	1.18
1.1	1.19
1.1	1.20
1.1	1.21
1.1	1.22
1.1	1.23
1.1	1.24
1.1	1.25
1.1	1.26
1.1	1.27
1.1	1.28
1.1	1.29
1.1	1.30
1.1	1.31
1.1	1.32
1.1	1.33
1.1	1.34
1.1	1.35
1.1	1.36
1.1	1.37
1.1	1.38
1.1	1.39
1.1	1.40
1.1	1.41
1.1	1.42
1.1	1.43
1.1	1.44
1.1	1.45
1.1	1.46
1.1	1.47
1.1	1.48
1.1	1.49
1.1	1.50
1.1	1.51
1.1	1.52
1.1	1.53
1.1	1.54
1.1	1.55
1.1	1.56
1.1	1.57
1.1	1.58
1.1	1.59
1.1	1.60
1.1	1.61
1.2	1.62
1.2	1.63
1.2	1.64
1.2	1.65
1.2	1.66
1.2	1.67
1.2	1.68
1.2	1.69
1.2	1.70
1.2	1.71
1.2	1.72
1.2	1.73
1.2	1.74
1.2	1.75
1.2	1.76
1.2	1.77
1.2	1.78
1.2	1.79
1.2	1.80
1.2	1.81
1.2	1.82
1.2	1.83
1.2	1.84
1.2	1.85
1.3	1.86
1.3	1.87
1.3	1.88
1.3	1.89
1.4	1.90
1.4	1.91
1.4	1.92
1.4	1.93
1.5	1.94
1.5	1.95
1.5	1.96
1.5	1.97
1.6	1.98
1.6	1.99
1.6	1.100
1.6	1.101
1.7	1.102
1.7	1.103
1.7	1.104
1.7	1.105
1.8	1.106
1.8	1.107
1.8	1.108
1.8	1.109
1.9	1.110
1.9	1.111
1.9	1.112
1.9	1.113
1.10	1.114
1.10	1.115
1.10	1.116
1.10	1.117
2.1	2.1
2.1	2.2
2.1	2.3
2.1	2.4
2.1	2.5
2.1	2.6
2.1	2.7
2.1	2.8
2.1	2.9
2.1	2.10
2.1	2.11
2.1	2.12
2.1	2.13
2.1	2.14
2.1	2.15
2.1	2.16
2.1	2.17
2.1	2.18
2.1	2.19
2.1	2.20
2.1	2.21
2.1	2.22
2.1	2.23
2.1	2.24
2.1	2.25
2.1	2.26
2.1	2.27
2.1	2.28
2.1	2.29
2.1	2.30
2.1	2.31
2.1	2.32
2.1	2.33
2.1	2.34
2.1	2.35
2.2	2.36
2.2	2.37
2.2	2.38
2.2	2.39
2.2	2.40
2.2	2.41
2.2	2.42
2.2	2.43
2.2	2.44
2.2	2.45
2.2	2.46
2.2	2.47
2.2	2.48
2.2	2.49
2.2	2.50
2.2	2.51
2.2	2.52
2.2	2.53
2.2	2.54
2.2	2.55
2.2	2.56
2.2	2.57
2.2	2.58
2.2	2.59
2.2	2.60
2.2	2.61
2.2	2.62
2.3	2.63
2.3	2.64
2.3	2.65
2.3	2.66
2.3	2.67
2.3	2.68
2.3	2.69
2.4	2.70
2.4	2.71
2.4	2.72
2.4	2.73
2.4	2.74
2.4	2.75
2.4	2.76
2.5	2.77
2.5	2.78
2.5	2.79
2.5	2.80
2.6	2.81
2.6	2.82
2.6	2.83
2.6	2.84
2.7	2.85
2.7	2.86
2.7	2.87
2.7	2.88
2.8	2.89
2.8	2.90
2.8	2.91
2.8	2.92
2.9	2.93
2.9	2.94
2.9	2.95
2.9	2.96
2.10	2.97
2.10	2.98
2.10	2.99
2.10	2.100
3.1	3.1
3.1	3.2
3.1	3.3
3.1	3.4
3.1	3.5
3.1	3.6
3.1	3.7
3.1	3.8
3.1	3.9
3.1	3.10
3.1	3.11
3.1	3.12
3.1	3.13
3.1	3.14
3.1	3.15
3.1	3.16
3.1	3.17
3.1	3.18
3.1	3.19
3.1	3.20
3.1	3.21
3.1	3.22
3.2	3.23
3.2	3.24
3.2	3.25
3.2	3.26
3.2	3.27
3.2	3.28
3.2	3.29
3.2	3.30
3.2	3.31
3.2	3.32
3.2	3.33
3.2	3.34
3.2	3.35
3.2	3.36
3.2	3.37
3.2	3.38
3.3	3.39
3.3	3.40
3.3	3.41
3.3	3.42
3.3	3.43
3.3	3.44
3.3	3.45
3.3	3.46
3.3	3.47
3.3	3.48
3.3	3.49
3.3	3.50
3.3	3.51
3.3	3.52
3.4	3.53
3.4	3.54
3.4	3.55
3.4	3.56
3.4	3.57
3.4	3.58
3.4	3.59
3.4	3.60
3.4	3.61
3.4	3.62
3.4	3.63
3.4	3.64
3.4	3.65
3.5	3.66
3.5	3.67
3.5	3.68
3.5	3.69
3.5	3.70
3.5	3.71
3.5	3.72
3.5	3.73
3.5	3.74
3.5	3.75
3.5	3.76
3.5	3.77
3.6	3.78
3.6	3.79
3.6	3.80
3.6	3.81
3.6	3.82
3.6	3.83
3.6	3.84
3.6	3.85
3.6	3.86
3.6	3.87
3.7	3.88
3.7	3.89
3.7	3.90
3.7	3.91
3.8	3.92
3.8	3.93
3.8	3.94
3.8	3.95
3.9	3.96
3.9	3.97
3.9	3.98
3.9	3.99
3.10	3.100
3.10	3.101
3.10	3.102
3.10	3.103
4.1	4.1
4.1	4.2
4.1	4.3
4.1	4.4
4.1	4.5
4.1	4.6
4.1	4.7
4.1	4.8
4.1	4.9
4.1	4.10
4.1	4.11
4.1	4.12
4.1	4.13
4.1	4.14
4.1	4.15
4.1	4.16
4.1	4.17
4.1	4.18
4.1	4.19
4.1	4.20
4.1	4.21
4.1	4.22
4.1	4.23
4.1	4.24
4.1	4.25
4.1	4.26
4.1	4.27
4.1	4.28
4.1	4.29
4.1	4.30
4.1	4.31
4.1	4.32
4.2	4.33
4.2	4.34
4.2	4.35
4.2	4.36
4.2	4.37
4.2	4.38
4.2	4.39
4.2	4.40
4.2	4.41
4.2	4.42
4.2	4.43
4.2	4.44
4.2	4.45
4.2	4.46
4.2	4.47
4.2	4.48
4.2	4.49
4.2	4.50
4.2	4.51
4.2	4.52
4.2	4.53
4.2	4.54
4.2	4.55
4.2	4.56
4.2	4.57
4.2	4.58
4.3	4.59
4.3	4.60
4.3	4.61
4.3	4.62
4.3	4.63
4.3	4.64
4.3	4.65
4.3	4.66
4.3	4.67
4.4	4.68
4.4	4.69
4.4	4.70
4.4	4.71
4.4	4.72
4.4	4.73
4.4	4.74
4.4	4.75
4.5	4.76
4.5	4.77
4.5	4.78
4.5	4.79
4.5	4.80
4.5	4.81
4.6	4.82
4.6	4.83
4.6	4.84
4.6	4.85
4.6	4.86
4.6	4.87
4.7	4.88
4.7	4.89
4.7	4.90
4.7	4.91
4.8	4.92
4.8	4.93
4.8	4.94
4.8	4.95
4.9	4.96
4.9	4.97
4.9	4.98
4.9	4.99
5.1	5.1
5.1	5.2
5.1	5.3
5.1	5.4
5.1	5.5
5.1	5.6
5.1	5.7
5.1	5.8
5.1	5.9
5.1	5.10
5.1	5.11
5.1	5.12
5.1	5.13
5.2	5.14
5.2	5.15
5.2	5.16
5.2	5.17
5.2	5.18
5.2	5.19
5.2	5.20
5.2	5.21
5.2	5.22
5.2	5.23
5.2	5.24
5.2	5.25
5.2	5.26
5.3	5.27
5.3	5.28
5.3	5.29
5.3	5.30
5.3	5.31
5.3	5.32
5.3	5.33
5.3	5.34
5.3	5.35
5.3	5.36
5.4	5.37
5.4	5.38
5.4	5.39
5.4	5.40
5.4	5.41
5.4	5.42
5.4	5.43
5.4	5.44
5.4	5.45
5.5	5.46
5.5	5.47
5.5	5.48
5.5	5.49
5.5	5.50
5.5	5.51
5.5	5.52
5.6	5.53
5.6	5.54
5.6	5.55
5.6	5.56
5.6	5.57
5.6	5.58
5.6	5.59
5.7	5.60
5.7	5.61
5.7	5.62
5.7	5.63
5.7	5.64
5.8	5.65
5.8	5.66
5.8	5.67
5.8	5.68
5.9	5.69
5.9	5.70
5.9	5.71
5.9	5.72
5.10	5.73
5.10	5.74
5.10	5.75
5.10	5.76
6.1	6.1
6.1	6.2
6.1	6.3
6.1	6.4
6.1	6.5
6.1	6.6
6.1	6.7
6.1	6.8
6.1	6.9
6.1	6.10
6.1	6.11
6.1	6.12
6.1	6.13
6.1	6.14
6.1	6.15
6.1	6.16
6.1	6.17
6.1	6.18
6.1	6.19
6.1	6.20
6.1	6.21
6.1	6.22
6.1	6.23
6.1	6.24
6.1	6.25
6.1	6.26
6.1	6.27
6.1	6.28
6.1	6.29
6.1	6.30
6.1	6.31
6.1	6.32
6.1	6.33
6.1	6.34
6.1	6.35
6.1	6.36
6.1	6.37
6.1	6.38
6.1	6.39
6.1	6.40
6.1	6.41
6.1	6.42
6.1	6.43
6.1	6.44
6.1	6.45
6.1	6.46
6.1	6.47
6.1	6.48
6.1	6.49
6.1	6.50
