ID	url	title	snippet
1.1	http://www.goksel.com/bilgiislem/	Göksel Bilgi İşlem	Ücretsiz sayaç, ziyaretçi defteri ve öneri sistemi sunuyor.
1.2	http://www.gezginler.net/	Gezginler	Program indirme,webmaster kaynakları ve anket,ziyaretçi defteri gibi ücretsiz hizmetler sunmaktadır.
1.3	http://www.defter.us/	Defter.us	Ücretsiz ziyaretçi defteri barındırma hizmeti veriyor.
1.4	http://www.defteral.com	Defter Al	Sitenize ekleyebileceğiniz ücretsiz ziyaretçi defteri hizmeti sunmaktadır.
1.5	http://www.sayfalar.com/extralar.php	Sayfalar.com	Web sitelerinin Page Rank, Alexa değeri, Backlink verilerini kontrol eder. Değişiklikleri e-posta aracılığı ile bildirir.
1.6	http://www.wmaraclari.com/	Webmaster Araçları	Ücretsiz ziyaretçi defteri, anket ve hava durumu bilgilerini sitelerde yayınlama hizmeti veriyor.
1.7	http://www.yaoti.com/tr/	Yaoti	Gerçek kişilerin ürünlerinizi veya hizmetlerinizi tanıttığı hizmet.
1.8	http://www.sitearaclari.com/	Site Araçları	Sitelere ziyaretçi defteri, anket, sayaç, tarihte bugün, iletişim formu, özlü sözler ve fıkralar gibi eklenti eklenmesine olanak tanıyor.
1.9	http://www.sunumax.com/	Sunumax	Gerçek kişilerle ürünlerinizi, hizmetlerinizi veya kendinizi tanıtma imkanı sunuyor.
1.10	http://www.dijivi.com/	Dijivi	Ürün veya hizmetlerinizin website üzerinden gerçek kişiler tarafından tanıtma imkanı sunuyor.
1.11	http://www.vijital.com/	Vijital	Video teknolojisinin web sitelerinde kullanılarak ürünlerin ve hizmetlerin tanıtımını sağlayan hizmet.
1.12	http://www.webmastersitesi.com/webmaster-araclari/	Webmaster Araçları	Webmasterlar için 404 ve backlink kontrolü gibi 38 adet online araçlar sunmaktadır.
1.13	http://tr.pagerankdb.com/	Pagerank Database	Pagerank Database aradığınız domain'in değişen pagerank değerlerini gösteren bir arama motorudur.
1.14	http://www.oyumsana.com/	Oyumsana	Çeşitli konular hakkında anket oluşturup web sitenize ekleme imkanı sunuyor.
1.15	http://www.seninfikrin.com/	Senin Fikrin	Ziyaretçilere anket hazırlama, anketlere oy verme ve anketleri kendi sitelerinde kullanma olanağı vermektedir.
1.16	http://www.anketservisi.com/	Anket Servisi	Siteye üyelik gerektiren kendi anketinizi oluşturabileceğiniz online anket hizmeti sunmaktadır.
1.17	http://www.online-anket.gen.tr/	Online Anket	Siteye üye olarak kendi anket ve araştırmalarınıza imkan tanıyor.
1.18	http://www.anketonline.net/	Anket Online	Anket oluşturma ve anketleri kendi sitenizde yayınlama olanağı sağlamaktadır.
1.19	http://www.jetanket.com	Jet Anket	Firma ve şahıslara profesyonel anket oluşturma, sitelerine ekleme ve hedef kitlelerine yayma imkanı sağlamaktadır.
1.20	http://www.onlineblogcu.com/	Online Blogcu	Blog sahipleri için sitedeki online kullanıcıları gösteren bir hizmet sunmaktadır.
1.21	http://www.sayacturka.gen.tr	SayacTURKA	Sitenize ekleyeceğiniz bir kodla gelişmiş istatistikler veren bir sitedir.
1.22	http://www.onlinesayac.com	Online Sayaç	Web siteleri için çeşitli tiplerde sayaç sunan ücretsiz online sayaç servisi.
1.23	http://www.onlinewebstats.com/index.php?lang=tr	Online Web Stats	Ücretsiz ve gelişmiş web istatistik hizmeti sunuyor.
1.24	http://www.sayyac.com/	Sayyac	Web sitelerinin günlük, haftalık ve aylık ziyaretçi istatistiklerini ülke, tarayıcı ve arama motorları gibi özelliklerine göre tutan web sitesi.
1.25	http://www.onlineziyaretci.com/	Online Ziyaretçi	Ücretsiz online ziyaretçi, günlük ve toplam ziyaretçi sayacı sunmaktadır.
1.26	http://www.tiktik.net	Tıktık	Ücretsiz .biz uzantılı alan adı yönlendirme servisi sunmaktadır.
1.27	http://kisaweb.com/	Kısaweb	Web adresinizi kısaltarak yönlendirme servisi sağlamaktadır.
1.28	http://www.getir.net/	Getir.net	Uzun internet adreslerini kısaltan çevrimiçi hizmet.
1.29	http://www.gelen.org/	Gelen.org	Uzun internet adresleri için kısaltma hizmeti.
1.30	http://www.mini.web.tr/	mini.web.tr	Uzun internet adreslerini kısaltarak akılda kalmasını sağlayan hizmet.
1.31	http://urlal.com/l-tr/turkce	Urlal	Uzun adresleri kısa hale getirerek kullanımını kolaylaştırır.
1.32	http://www.mikiurl.com/	Miki URL	Bağlantı kısaltma hizmeti.
1.33	http://www.urlac.com/	Urlac.com	Site adreslerini kısaltmaya yarayan bir hizmet.
1.34	http://peyn.ir	Peyn.ir	Uzun linkleri kısaltmaya yarıyor.
1.35	http://url.ac/	Url.ac	URL adreslerini kısaltan ve bir adreste toplayan hizmet.
1.36	http://www.tib.gov.tr/dokuman/YS_listesi.html	T.İ.B. Yer Sağlayıcılar Listesi	Telekomünikasyon İletişim Başkanlığı tarafından faaliyet belgesi verilmiş yer sağlayıcıları listeleniyor.
1.37	http://www.20gb.org/	20gb.org	Barındırma ve alan adı tescil hizmetleri.
1.38	http://www.3ahost.com	3ahost	Web barındırma ve alan adı tescili hizmetleri.
1.39	http://www.5555web.net/	5555 İletişim Hizmetleri	Sunucu kiralama, sunucu barındırma, paylaşımlı sunucu kiralama, web sitesi barındırma hizmetleri ve alan adı kaydı sunan firma.
1.40	http://www.7x24web.net/	7x24web.net	Web barındırma, alan adı tescil, sunucu ve sanal sunucu kiralama hizmetleri sunuyor.
1.41	http://www.aktifbilisim.com.tr/	Aktif Bilişim	Web barındırma, sanal sunucu kiralama, web tasarım, sunucu kiralama ve sunucu barındırma hizmetleri.
1.42	http://www.agorahosting.net	Agora Hosting	NT ve Linux sunucularda web barındırma hizmeti.
1.43	http://www.areshosting.com/	Ares Hosting	Web sitesi barındırma hizmetleri, alan adı tescil işlemleri; ASP, ASP.net, MySQL, PHP, MySQL çözümleri.
1.44	http://www.asys1.net	Active System	Barındırma hizmetleri.
1.45	http://www.acilhost.com/	AcilHost	Barındırma hizmetleri, kampanyalar, alan adı kaydı.
1.46	http://www.asyanet.com	Asyanet	Barındırma ve sunucu kiralama hizmetleri.
1.47	http://www.artmedya.com	ARTmedya	Web tasarımı, barındırma ve alan adı kaydı hizmetleri.
1.48	http://www.adroithost.com/	Adroit Host	Barındırma hizmetleri paketleri, sunucu tipleri hakkında bilgiler.
1.49	http://www.alfaserver.net	Alfaserver.net	Barındırma ve alan adı tescil hizmetleri
1.50	http://www.ayhosting.com/	AyHosting	Barındırma hizmetleri, alan adı tescili, web tasarımı, interaktif CD tasarımı.
1.51	http://www.alanorweb.net	Alanor Web Hizmetleri	Alan adı kaydı, web tasarım, web yazılım, web barındırma, reseller barındırma, e-posta barındırma, IRC sunucusu, dedicated sunucu, web marketing hizmetleri ve bayilik sistemi.
1.52	http://www.asoregister.com	Asoregister	Domain tescili, web tabanlı çözümler ve hosting hizmetleri.
1.53	http://www.abista.net	Abista	Kişisel kurumsal web barındırma, alan adı kaydı ve e-posta hizmetleri. SQL, ASP, PHP ve MySQL desteği.
1.54	http://www.atkhosting.com	ATK Hosting	Web barındırma hizmetleri.
1.55	http://www.axahost.com	AxaHost	Linux tabanlı barındırma paketleri sunuyor.
1.56	http://www.ay-computer.com.tr	Ay Computer	ASP, PHP, ASP.net, MSSQL, MySQL tabanlı uygulamalara barındırma hizmetleri.
1.57	http://www.aysima.com.tr/	Aysima	ASP, PHP, ASP.net, MSSQL, MySQL tabanlı uygulamalara barındırma hizmetleri.
1.58	http://www.albiem.com	Albiem	Web tasarımı, barındırma, bilgisayar satışı network destek hizmetleri.
1.59	http://www.anlayan.com	AnlayanNET	Linux tabanlı barındırma çözümleri sunuyor.
1.60	http://www.atakteknoloji.com	Atak Teknoloji	Web barındırma, alan adı kaydı ve web tasarım çözümleri sunuyor.
1.61	http://www.aslihanhosting.net	Aslihan Hosting	Linux tabanlı web barındırma ve domain tescil hizmetleri.
1.62	http://www.xing.com/	Xing	Üyelerin iş bağlantılarını yönetmek ve kurumsal firmalarla iletişime geçmesi için geliştirilmiş sosyal ağ sistemi.
1.63	http://www.sosyomat.com	Sosyomat.com	Etiketler üzerine kurulmuş sosyalleşme aracı.
1.64	http://www.yonja.com/	Yonja	Arkadaş edinme ve çeşitli aktivite olanaklarını sağlayan internet sitesi.
1.65	http://www.oyuncuadresi.com	Oyuncu Adresi	Yapımcılar, cast direktörleri, yönetmenler, oyuncu menajerleri ve cast ajansları gibi kurumsal kullanıcılar ile oyuncular ve oyuncu adaylarının buluşturan sitedir.
1.66	http://www.simgolo.com	Simgolo	Mesleki ve hobi kulüplerinin davet üzerine üyelik ile bir araya gelip, sosyal ve ticari faaliyetlerini geliştirebildikleri bir site.
1.67	http://www.biriyim.com	Biriyim	Test çözen insanların bulunduğu topluluk sitesi.
1.68	http://www.1insaat.com	1 İnşaat	Yapı sektörü ile ilgilenen insanların kullandığı sosyal ağ sitesi.
1.69	http://www.shuanda.net	Shuanda.Net	Web'den, MSN'den ya da cepten mesaj bırakılabilen, kişilerin ne yaptığını takip etmeye yarayan servis.
1.70	http://www.e-kantin.net	E-Kantin	Üniversitelilerin buluştuğu sosyal ağ.
1.71	http://www.daveti.com	Daveti	Türkiye'nin büyük şehirlerinde yer alan mekanları ve etkinlikleri inceliyor.
1.72	http://www.sanalcafe.com	SanalCafe	Sinema, bowling, paintball gibi etkinlikler düzenleyen sitede forum bölümü de yer alıyor.
1.73	http://www.duyurdum.com	Duyurdum	Çeşitli konularda duyurulara ve yorumlarına yer veriliyor.
1.74	http://www.kiyasiya.com/	Kıyasıya	Kullanıcılar diğer üyeler tarafından oluşturulmuş "kıyas"lara oy verip yorum yazabiliyor.
1.75	http://www.istiyor.us	İstiyor.us	Ortak amaçları olan insanları bir araya getiriyor.
1.76	http://www.listelerim.com/	Listelerim	Üyelerinin metin, resim ve videolar kullanarak, çeşitli konularda listeler oluşturup paylaştığı web sayfası.
1.77	http://www.postapaylas.com/	Posta Paylaş	E-posta hesaplarınıza gelen yazıları paylaşma imkanı sağlayan web sayfası.
1.78	http://www.studentsn.com/	Student Social Network	Öğrenci ve akademisyenlerin birbirleriyle iletişim kurabilmelerini sağlamak amacıyla oluşturulan sosyal ağ.
1.79	http://2yuz.com	2yuz	Müzik, sinema, televizyon, spor, magazin ve haberleşme sektörlerinde çalışanların buluştuğu platform.
1.80	http://zoptik.com	Zoptik	Arkadaşlarınız, aileniz ve çalışma arkadaşlarınızla, o anda ne yaptığınızı 140 karakterle, gerçek zamanlı paylaştığınız bir sosyal mikroblog ağıdır.
1.81	http://tr.myspace.com/	MySpace	Farklı dillerde hizmet veren site aracılığı ile görsel, video ve bağlantı paylaşabilir, günlük tutabilirsiniz.
1.82	http://tr-tr.facebook.com/	Facebook	Kişilerin arkadaşlarını takip edebileceği; fotoğraf, video ve link paylaşabileceği sosyal araç.
1.83	http://civilcivil.com	CıvılCıvıl	"Ne yapıyorsunuz" sorusunu cevaplayan insanların gerçek zamanlı olarak iletişimlerini sağlayan mesajlaşma aracı.
1.84	http://friendfeed.com	FriendFeed	Arkadaşlarınızın çeşitli sitelerde paylaştığı yazı, fotoğraf, video, yorum gibi öğeleri tek bir beslemede toplamaya yarıyor.
1.85	http://forum.ceviz.net/	Ceviz Forum	Programlama, bilgisayar dünyası, grafik ve tasarım gibi çeşitli konularda tartışma imkanı sunuyor.
1.86	http://www.icann.org/tr/turkish.html	ICANN	İnternetin kararlılığını ve bütünlüğünü desteklemek için birlikte çalışan küresel internet topluluğu resmi sitesi.
1.87	http://kimindir.com/	Kimindir.com	Çoklu alan adı sorgulama servisi sunuyor ve varolan alan adları ile ilgili çeşitli bilgiler içeriyor.
1.88	http://www.whois.com.tr/	Whois.com.tr	Türkçe ve global alan adları için özlük bilgileri sorgulanabiliyor.
1.89	http://www.belirsiz.com/	Belirsiz	Alan adı sorgulama hizmeti veriyor.
1.90	http://www.hakia.com/	Hakia	Anlamsal ve dil işleme tabanlı arama motoru.
1.91	http://www.google.com.tr/	Google Türkiye	Gelişmiş arama seçenekleri ve sade yapısıyla etkili sonuçlar veren arama motoru.
1.92	http://tr.my.yahoo.com/	Yahoo! Türkiye	Web portal özelliğine sahip arama motoru. Görseller ve videolar için de arama yapabiliyor.
1.93	http://www.iyi.web.tr/	İyi Web	Türkçe içerikli web sitelerini arama hizmeti sunmakta.
1.94	http://www.ilkertemir.com/	Türkiye Internet Altyapısı	Türkçe IP adresleme ve yönlendirme dökümanları. Detaylı DNS açıklaması ve BIND kurulumu. Türkiye Internet Altyapısı üzerine çeşitli çalışmalar ve veriler.
1.95	http://www.webdekurs.com	WebdeKurs	Video ve yazılı dökümanlar ile programlama, tasarım ve bilgisayar kursları veren ücretsiz internet dersanesi.
1.96	http://ascii.uzerine.com	Ascii Üzerine	Ascii hakkında detaylı incelemeler ayrıca HTML ve Ascii Türkçe karakter tablosu.
1.97	http://www.programdersleri.com	Program Dersleri	Amatör bilgisayar kullanıcılarının faydalanabileceği, çeşitli programların kullanımlarını anlatan bir site.
1.98	http://www.vedius.com/	Vedius ICT	Danışmanlık, CRM, CMS çözümleri, sitem yönetimi ve web site tasarımı hizmetleri sunuyor.
1.99	http://www.fisek.com.tr/bilisim/	Fişek Bilişim	Linux, network ve Internet çözümleri hizmeti veriyor.
1.100	http://www.mostly-net.com/	Mostlynet	Web site tasarımından kurumsal eğitimlere değin A-Z danışmanlık hizmetleri veren tam servis interaktif ajans.
1.101	http://www.rainbow.web.tr/	Rainbow Bilişim	İçerik yönetimi, web tasarım, hosting ve yazılım projeleri danışmanlığı konularında hizmet veren bir site.
1.102	http://www.blog.org.tr/	İnternet ve Blog Yazarları Derneği	Dernek hakkında bilgi, etkinlikler, yönetim kurulu, haberler ve iletişim yer alıyor.
1.103	http://www.tid.org.tr/	Tüm İnternet Derneği	İnternet servis sağlayıcıları ve internetin her yönünü temsil etmeyi amaçlıyor. Tanıtım, üyeler, komiteler, etkinlikler.
1.104	http://www.iyad.org.tr/	İnternet Yayıncıları Derneği (İYAD)	Çeşitli dallarda İnternet yayıncıları ilgili mesleki ve etik standartların saptanması, bu standartların üyeleri arasında benimsenmesi ve uygulanması amacıyla çalışmalar yapıyor.
1.105	http://www.tiev.org.tr	Tüm İnternet Evleri Derneği	İnternet kafeleri temsil ediyor. Duyurular, yazılım ve virüs haberleri, üye yazıları, forum, emniyet haberleri ve dernek haberleri bulunuyor.
1.106	http://www.kahkaha.com/ekart/	Kahkaha.com E-kart	Konulara göre ayrılmış e-kartlar. Üyelik gerekiyor.
1.107	http://www.gezinet.net/ecard/	Gezinet E-kart	Ücretsiz e-kart yollama servisi.
1.108	http://www.bedavaekartlar.com/	İslami Sanat E-kart	Manzara ve çiçek resimleri ile İslami resimler içeren ücretsiz e-kart servisi.
1.109	http://www.karakutu.com/ekart/	Karakutu E-Kart	Ödüllü karikatür ve resimlerden sevdiklerinize e-kart gönderin.
1.110	http://www.turcom.com.tr/	Turcom	Erişim sağlama, mobil veri iletişimi ve kurumlara yönelik bilişim çözümleri sunuyor.
1.111	http://www.ulakbim.gov.tr/	Ulusal Akademik Ağ ve Bilgi Merkezi	TÜBİTAK tarafından kurulan üniversiteler ve araştırma kurumlarını birbirine bağlayan akademik bilgi ağı.
1.112	http://www.superonline.net/	Superonline	Bireysel servis sağlayıcı ve hizmet sayfaları.
1.113	http://www.koc.net/	Koç.net	Bireysel ve kurumsal erişim olanakları sağlıyor.
1.114	http://www.netfaks.com	netFaks	İnternet üzerinden Türkiye ve 190 ülkeye çevrimiçi faks gönderim hizmeti.
1.115	http://www.savego.com.tr/fax/faks_almak.aspx	Savego	Faks alım servisi ile faks numaranıza gönderilen dokümanlarınızın e-posta adresinize iletimi hizmeti.
1.116	http://www.faksmakinesi.net	Faks Makinesi	İnternet üzerinden toplu faks göndermeye yarıyor.
1.117	http://www.venali.com.tr/	Venali	E-posta aracılığı ile toplu faks gönderme çözümleri.
2.1	http://www.php.org.tr/	Türkiye PHP Grubu	PHP, MYSQL, Apache ve linux hakkında kapsamlı bilgiler, forum ve makaleler.
2.2	http://www.ulakbim.gov.tr/belgeler/programlama/2000php/	PHP ile Sunucu Tabanlı Uygulamaları	PHP, MySQL, LDAP kullanarak geliştirilebilecek uygulamalar hakkında hazırlanmış dökümanlar.
2.3	http://www.turk-php.com	Turk-PHP	Linux, Apache, MySQL'de dahil olmak üzere pek çok bilgi, döküman, tartışma grupları ve açık kaynak kodlu projeler.
2.4	http://huseyint.com/projeler/apache-php-mysql/	Apache, PHP ve MySQL Kurulumu	Windows XP altında Apache, PHP ve MySQL'in adım adım ekran görüntülü kurulumu.
2.5	http://www.php.web.tr/	PHP Dökümanları	Farklı işletim sistemleri için kurulumlar da içeren siteden; Php dökümantasyonuna ulaşabilirsiniz.
2.6	http://www.guraysuerdem.com	Php ve Mysql	PHP ve MySQL hakkında makaleler içeren kişisel site.
2.7	http://www.barbetto.com/	Barbetto	Örneklemeli php dersleri, konu anlatımları ve çeşitli yazılım dilleri hakkında makaleler bulunuyor.
2.8	http://www.php.biz.tr	Php	Php dili ile ilgili makale, ders, ipuçları ve kod örnekleri sunan site.
2.9	http://www.codeigniter.gen.tr	CodeIgniter	CodeIgniter çatısı hakkında Türkçe blog ve kullanım kılavuzunun Türkçe çevirisi bulunuyor.
2.10	http://www.4images.gen.tr/	4images	4images betiği için eklenti, Türkçe dil dosyaları paylaşımı ve yardım forumları.
2.11	http://forum.whmdestek.com/	WHM cPanel Destek Platformu	WHM/cPanel sunucu kontrol paneli için Türkçe forum.
2.12	http://www.ipbaccess.com/forum/index.php?act=uportal/	IPBAccess	Forum betiği için destek ve eklentiler sunuyor.
2.13	http://www.phorumtr.net	Phorum Türkçe Destek	Forum yazılımı Phorum'la ilgili belge, modül ve destek forumları içeriyor.
2.14	http://www.phpbbturkey.com	phpBB Türkiye	phpBB Türkçe destek sitesi.
2.15	http://www.canver.net/	phpBB Türkiye	phpBB forum yazılımının Türkçe desteği sağlanır, phpBB ile ilgili makaleler, Türkçe eklentiler ve temalar bulunur.
2.16	http://www.phpbbturkiye.net	phpBB3 Türkiye	phpBB3 forum betiği, eklentileri ve temaları için Türkçe destek ve yardım alınabilir.
2.17	http://www.phpkf.com/	Php Kolay Forum (phpKF)	Türk yapımı, Php ve MySQL destekli, açık kaynaklı forum betiği. İndirme ve kurulum bilgileri sunuluyor.
2.18	http://www.smf.gen.tr/smf/index.php	SMF.gen.tr	SMF forum betiğine ait modifikasyonlar, tüyolar, temalar ve dokümanlar içeren teknik destek forumu.
2.19	http://www.smfciyiz.biz	Smf Türkçe Destek	Smf kurulumu, modifikasyonu ve temaları hakkında bilgi veren forum tabanlı site.
2.20	http://www.mybbturkiye.com/	MyBB Türkiye	MyBB betiği için Türkçe dil ve eklenti desteği verilen site.
2.21	http://www.mybbdestek.com/	Mybb Destek	MyBB forum betiği için destek sunuyor.
2.22	http://www.vbadvanced-turkiye.com/	vBadvanced Türkiye	Vbulletin sistemine entegre edilebilen vBadvanced CMPS'nin Türkçe destek platformu.
2.23	http://www.vbseo.biz/	vBSEO.biz	vBSEO betiği hakkında anlatımlar yer alıyor.
2.24	http://www.milon4.com	Milon4.Com	Özgün vBulletin tema tasarımları ve geliştirilmesi yönünde kullanıcılara yardımcı içerikler içeriyor.
2.25	http://www.discuzturkiye.com/	Discuz Türkiye	Forum betiği için anlatımlar, temalar ve eklentiler yer alıyor.
2.26	http://www.vbulletin-tr.com/	vBulletin-Turkey.Com	vBulletin forum yazılımıyla ilgili Türkçe destek sunuyor ve eklentiler yayınlıyor.
2.27	http://drupaltr.org/	Drupal Türkiye	Web tabanlı içerik yönetim sistemi için Türkçe dil paketleri ve anlatımlar yer alıyor.
2.28	http://www.cmsturk.net/	CmsTurk	Tüm içerik yönetim sistemleri hakkında bilgiler içeren forum.
2.29	http://www.joomladersleri.com/	Joomla Dersleri	Görsel Joomla dersleri ve bileşen tanıtımları içeriyor.
2.30	http://www.joomlatr.org	Joomlatr	Joomla ile ilgili haberler, dosyalar ve forum içeren destek sitesi.
2.31	http://www.miniex.net	Mini-Nuke Extension	Mini-Nuke içerik yönetim sisteminin geliştirilmiş bir sürümü.
2.32	http://mkportal.gen.tr	MKPortal Türkiye	Birçok forum sistemi ile entegre olabilen portal sistemi MKPortal'ın Türkçe destek sitesi.
2.33	http://www.netopsiyon.com/	Netopsiyon	PHP-Nuke ile ilgili yardımcı dosyalar, ipuçları ve yardım forumu.
2.34	http://www.phpnuketurkiye.org	PHP-Nuke Türkiye	Yazılım hakkında Türkçe destek; ücretsiz modüller, bloklar, temalar ve eklentiler.
2.35	http://www.seditio-tr.com/	Seditio-TR	Seditio içerik yönetimi sistemi ile ilgili eklenti hazırlama, geliştirme ve destek sitesi.
2.36	http://www.alitopaloglu.com	Topaloğlu, Ali	PHP programlama, web tasarım, web yazılım ve veritabanı konuları üzerine çeşitli projeler geliştiren Ali Topaloğlu'nun kişisel blog sitesidir.
2.37	http://www.cagataycebi.com	Çebi, Çağatay	Özgür yazılım üzerine kurulmuş Türkçe bir site. Programlama C ve Java ile ilgili dersler bulunuyor.
2.38	http://www.fulyaoner.com/	Öner, Fulya	C, C++, C#, .NET,SQL, ASP.NET dersleri ve örnek kodları.
2.39	http://www.seferalgan.com	Algan, Sefer	C# ve .NET framework konusunda çeşitli haberler ve kod örnekleri bulunmaktadır.
2.40	http://mehmetguzel.blogspot.com	Güzel, Mehmet	Sql server hakkında bilgiler, haberler ve çeşitli T-SQL ipuçlarının yer aldığı kişisel site.
2.41	http://www.oguzyagmur.com/	Yağmur, Oğuz	C# 3.0, Linq, sql server 2008, ve tasarım desenleri (design patterns) hakkında yazılar.
2.42	http://www.serpito.com	Akoğlu, Atilla	Php hakkında giriş dersleri, veritabanı işlemleri ve çeşitli programlar hakkında ipuçları mevcuttur.
2.43	http://www.cengizhan.com	Han, Cengiz	ASP.NET, vb.net konusunda çeşitli incelemeler ve görüşlerin olduğu site.
2.44	http://turhal.blogspot.com/	Temizer, Turhal	Windows Presentation Foundation (WPF) ve Silverlight hakkında çeşitli inceleme yazıları ve örnekler bulunmaktadır.
2.45	http://ercanaltug.blogspot.com	Yılmaz, Ercan Altuğ	Flash ve ActionScript hakkında püfler, Silverlight için Expression Blend ve Expression Studio hakkında bilgiler bulunmaktadır.
2.46	http://www.ysfkc.com	Koç, Yusuf	Php, Mysql ve Javascript üzerine makaleler içeren kişisel web günlüğü.
2.47	http://www.mustafaozcan.net	Özcan, Mustafa	ASP.NET / ASP, Javascript, ORM ve veritabanları hakkında çeşitli yazılar bulunan kişisel site.
2.48	http://www.cub-e.net	Kanlıca, Barış	Barış Kanlıca'nın .net tabanlı teknolojilerin (asp.net, c#, office,linq, ajax, silverlight, SQL server, internet explorer...) Microsoft Dynamics CRM ile entegre çalışan yapısını anlatan makaleler, videolar ve forum bulunmaktadır.
2.49	http://www.altuntaslar.com	Altuntaşlar, Mustafa	Bilgisayar ve yazılım dünyasından haberler ile yazılım geliştirme, programlama dilleri, veritabanları ile ilgili örnek kod, makale ve ipuçları veren site.
2.50	http://www.ardenagopyan.com	Agopyan, Arden	Java ve .NET platformları hakkında çeşitli yazılar bulunmaktadır. WebSphere, servis odaklı uygulama geliştirme (SOA) ve çeşitli inceleme yazıları bulunmaktadır.
