ID	description
1.1	Bilgisayar > İnternet > Web Tasarımı ve Geliştirme
1.2	Bilgisayar > İnternet > Web
1.3	Bilgisayar > İnternet > Alan Adları
1.4	Bilgisayar > İnternet > Arama
1.5	Bilgisayar > İnternet > Bilgi Kaynakları
1.6	Bilgisayar > İnternet > Danışmanlar
1.7	Bilgisayar > İnternet > Dernekler
1.8	Bilgisayar > İnternet > E-posta
1.9	Bilgisayar > İnternet > Erişim Sağlayıcıları
1.10	Bilgisayar > İnternet > İnternetten Faks
2.1	Bilgisayar > Programlama > PHP
2.2	Bilgisayar > Programlama > Kişisel Sayfalar
2.3	Bilgisayar > Programlama > ASP
2.4	Bilgisayar > Programlama > Delphi
2.5	Bilgisayar > Programlama > C-sharp
2.6	Bilgisayar > Programlama > HTML
2.7	Bilgisayar > Programlama > Java
2.8	Bilgisayar > Programlama > JavaScript
2.9	Bilgisayar > Programlama > SQL
2.10	Bilgisayar > Programlama > Visual Basic
3.1	Bilgisayar > Yazılım > Arşivler
3.2	Bilgisayar > Yazılım > İşletim Sistemleri
3.3	Bilgisayar > Yazılım > Satıcılar
3.4	Bilgisayar > Yazılım > İnternet
3.5	Bilgisayar > Yazılım > Sektörel
3.6	Bilgisayar > Yazılım > Muhasebe
3.7	Bilgisayar > Yazılım > Eğitim
3.8	Bilgisayar > Yazılım > Masaüstü Özelleştirme
3.9	Bilgisayar > Yazılım > Multimedya
3.10	Bilgisayar > Yazılım > Üretim
4.1	Bilim > Sosyal Bilimler > Ekonomi
4.2	Bilim > Sosyal Bilimler > Tarih
4.3	Bilim > Sosyal Bilimler > Psikoloji
4.4	Bilim > Sosyal Bilimler > Arkeoloji
4.5	Bilim > Sosyal Bilimler > Dil Bilimi
4.6	Bilim > Sosyal Bilimler > Felsefe
4.7	Bilim > Sosyal Bilimler > Antropoloji
4.8	Bilim > Sosyal Bilimler > Coğrafya
4.9	Bilim > Sosyal Bilimler > Sosyoloji
5.1	Bölgesel > Avrupa > Almanya
5.2	Bölgesel > Avrupa > Avusturya
5.3	Bölgesel > Avrupa > Belçika
5.4	Bölgesel > Avrupa > İngiltere
5.5	Bölgesel > Avrupa > Hollanda
5.6	Bölgesel > Avrupa > Rusya
5.7	Bölgesel > Avrupa > İtalya
5.8	Bölgesel > Avrupa > Basın ve Yayın
5.9	Bölgesel > Avrupa > Bulgaristan
5.10	Bölgesel > Avrupa > Devlet
6.1	Eğlence ve Yaşam > Tatil ve Yolculuk > Acenteler
6.2	Eğlence ve Yaşam > Tatil ve Yolculuk > Yatçılık ve Marina
6.3	Eğlence ve Yaşam > Tatil ve Yolculuk > Gezi Notları ve Anıları
6.4	Eğlence ve Yaşam > Tatil ve Yolculuk > Gezi Rehberleri
6.5	Eğlence ve Yaşam > Tatil ve Yolculuk > Konaklama
6.6	Eğlence ve Yaşam > Tatil ve Yolculuk > Ulaşım
6.7	Eğlence ve Yaşam > Tatil ve Yolculuk > Yayınlar
7.1	Ekonomi ve İş Dünyası > Elektrik ve Elektronik > Güç Kaynakları
7.2	Ekonomi ve İş Dünyası > Elektrik ve Elektronik > Test ve Ölçüm
7.3	Ekonomi ve İş Dünyası > Elektrik ve Elektronik > Kablolama ve Aksesuarlar
7.4	Ekonomi ve İş Dünyası > Elektrik ve Elektronik > Telekomünikasyon
7.5	Ekonomi ve İş Dünyası > Elektrik ve Elektronik > Elektrik Taahhüt
7.6	Ekonomi ve İş Dünyası > Elektrik ve Elektronik > Bilgi Kaynakları
7.7	Ekonomi ve İş Dünyası > Elektrik ve Elektronik > Isıtma ve Soğutma
8.1	Ekonomi ve İş Dünyası > Finansal Hizmetler > Sigorta
8.2	Ekonomi ve İş Dünyası > Finansal Hizmetler > Bankacılık Hizmetleri
8.3	Ekonomi ve İş Dünyası > Finansal Hizmetler > Faktoring
8.4	Ekonomi ve İş Dünyası > Finansal Hizmetler > Finansal Kiralama
8.5	Ekonomi ve İş Dünyası > Finansal Hizmetler > Barter
8.6	Ekonomi ve İş Dünyası > Finansal Hizmetler > Aracı Kurumlar
8.7	Ekonomi ve İş Dünyası > Finansal Hizmetler > Bilgi Kaynakları
8.8	Ekonomi ve İş Dünyası > Finansal Hizmetler > Gayrimenkul Yatırım
8.9	Ekonomi ve İş Dünyası > Finansal Hizmetler > Konut Kredileri
8.10	Ekonomi ve İş Dünyası > Finansal Hizmetler > Kredi
9.1	Ekonomi ve İş Dünyası > Gıda Maddeleri ve İçecek > Gıda Makineleri
9.2	Ekonomi ve İş Dünyası > Gıda Maddeleri ve İçecek > Tatlı ve Şekerleme
9.3	Ekonomi ve İş Dünyası > Gıda Maddeleri ve İçecek > İçecek
9.4	Ekonomi ve İş Dünyası > Gıda Maddeleri ve İçecek > Konserve ve Kurutulmuş Gıda
9.5	Ekonomi ve İş Dünyası > Gıda Maddeleri ve İçecek > Süt ve Süt Ürünleri
9.6	Ekonomi ve İş Dünyası > Gıda Maddeleri ve İçecek > Un ve Unlu Mamuller
9.7	Ekonomi ve İş Dünyası > Gıda Maddeleri ve İçecek > Et, Tavuk ve Balık
9.8	Ekonomi ve İş Dünyası > Gıda Maddeleri ve İçecek > Toplu Yemek
9.9	Ekonomi ve İş Dünyası > Gıda Maddeleri ve İçecek > Yağ
9.10	Ekonomi ve İş Dünyası > Gıda Maddeleri ve İçecek > Baharat
10.1	Ekonomi ve İş Dünyası > Otomotiv > Parça ve Aksesuarlar
10.2	Ekonomi ve İş Dünyası > Otomotiv > Satış ve Servis
10.3	Ekonomi ve İş Dünyası > Otomotiv > Üreticiler ve Distribütörler
10.4	Ekonomi ve İş Dünyası > Otomotiv > Araç Kiralama
10.5	Ekonomi ve İş Dünyası > Otomotiv > Motosiklet
10.6	Ekonomi ve İş Dünyası > Otomotiv > Bilgi Kaynakları
11.1	Ekonomi ve İş Dünyası > Pazarlama ve Reklamcılık > Reklamcılık
11.2	Ekonomi ve İş Dünyası > Pazarlama ve Reklamcılık > Pazar Araştırması
11.3	Ekonomi ve İş Dünyası > Pazarlama ve Reklamcılık > Basın ve Yayın
11.4	Ekonomi ve İş Dünyası > Pazarlama ve Reklamcılık > Manken Ajansları
11.5	Ekonomi ve İş Dünyası > Pazarlama ve Reklamcılık > Halkla İlişkiler
11.6	Ekonomi ve İş Dünyası > Pazarlama ve Reklamcılık > Pazarlama
12.1	Ekonomi ve İş Dünyası > Taşımacılık ve Lojistik > Denizcilik
12.2	Ekonomi ve İş Dünyası > Taşımacılık ve Lojistik > Yurtiçi Taşımacılık
12.3	Ekonomi ve İş Dünyası > Taşımacılık ve Lojistik > Otobüs
12.4	Ekonomi ve İş Dünyası > Taşımacılık ve Lojistik > Uluslararası Taşımacılık
12.5	Ekonomi ve İş Dünyası > Taşımacılık ve Lojistik > Havacılık
12.6	Ekonomi ve İş Dünyası > Taşımacılık ve Lojistik > Lojistik
